model,modal,n_images,timestamp,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
CDDFuse,CT,24,20260502_215715,4.686877075280939,80.77401313397034,8.75551132521167,36.53763791816673,88.05264499002838,65.71606636047363,0.8071421894714405,2.1451334979161008,0.01967106852151807,0.6711066846367005,1.5797834978330803,1.479867629409176,55.2235183322878,0.1959192863249625,0.6140993717512807,0.008815204680994006,0.4712873183084656,0.4003698813447803,0.7965370832820424,578.4458737275548,0.9258774229636902,0.7776971423783628,0.051325617745786555,0.8071421894714405,-8.584074686429581
CDDFuse,PET,24,20260502_215953,5.615261369241909,89.53463114170533,11.56211284780809,35.24338021187853,118.03154645206921,81.30991554260254,0.8106392162497976,2.5504397484101027,0.018121092486824295,0.6262605273065454,1.1181770856784976,1.4042626573134696,55.248477548916924,0.19469359170360145,0.7343875651880878,0.07398927312662879,0.6632045369346049,0.6077985078352538,0.8962209609308361,53.13294119832568,0.9564130991315073,0.7648744328763429,0.0329201656861652,0.8106392162497976,-5.291335585132882
CDDFuse,SPECT,24,20260502_220237,5.004588447373647,60.284758116291584,6.9577777427410155,22.283591337606264,70.35793384285253,46.760497411092125,0.8145233357874577,3.081451671964017,0.03298507656551624,0.6525684337221476,1.2001269029317518,1.4318334044787104,58.19675474680622,0.09945422682989112,0.758469704445443,0.16776686534250382,0.6507299092464892,0.551933833949276,0.8802187917105826,33.54733910360178,0.9853823944533534,1.0219510813028647,0.030636019557062685,0.8145233357874577,-10.807423574080715
CDDFuse,CT,24,20260519_224124,0.0,0.0,0.0,0.0,0.0,0.0,0.8027130512011739,0.0,0.0,0.5072039623245913,-0.47193581550601044,0.9044571666688285,9.441074757069908,87.4429903403227,4.689308097449128e-05,0.0035877628921615703,0.0,0.0,0.0,1525.8617426299697,0.5116923835658175,0.0,0.9999999999999819,0.8027130512011739,0.0
CDDFuse,PET,24,20260519_224404,0.0,0.0,0.0,0.0,0.0,0.0,0.8022194454224701,0.0,0.0,0.5032059230785128,-0.4462723790125014,0.9872936118890266,8.663716356314646,95.89439958870422,5.8178524012482824e-05,0.0011093465897560625,0.0,0.0,0.0,1022.8011407711136,0.6756870414368178,0.0,0.9999999999999813,0.8022194454224701,0.0
CDDFuse,SPECT,24,20260519_224632,5.004351852732141,60.2802005359027,6.957361602163638,22.282767358110732,70.35363507164747,46.75687026977539,0.8145229320065791,3.081361902397589,0.0329318092549218,0.6525902981072441,1.1996373953625652,1.4318665576003402,26.531646226491095,25.456789252984887,0.7584415889714412,0.1680287205661778,0.6507104972348273,0.5518985650320835,0.8802212411669413,33.54253082300461,0.9853877545826091,1.0219421581442514,0.030665387482346474,0.8145229320065791,-10.813591745242661
CDDFuse,CT,24,20260519_231836,4.49320192335512,77.76455434102357,8.366548602341574,34.94604891060576,84.17651964326576,63.42740948994955,0.8069640473174949,2.057885536650829,0.018843718727552274,0.6646052556076304,1.511738470901571,1.4559525798171726,14.204521506074045,51.488873836569724,0.5870629415125387,0.008548506027210143,0.45075530406121667,0.3822542024292419,0.7620030695578777,616.1806339103972,0.908912294779216,0.7460290450346712,0.09102007872783248,0.8069640473174949,-8.388870990540035
CDDFuse,CT,24,20260519_233625,4.686797749583205,80.77078646485059,8.755430774745948,36.53799267093688,88.0515270392708,65.71292114257812,0.8071417624089247,2.14508450507375,0.019666141240354026,0.6710997311464278,1.5800952339050494,1.4798800462702637,14.405257576702025,50.15341487566516,0.6140704301416217,0.008811166075949657,0.4712679216852796,0.40035061537245314,0.7965497021856812,578.465495683921,0.9258746160622987,0.7776905304685849,0.051316201412113516,0.8071417624089245,-8.580386610573504
CDDFuse,PET,24,20260519_234144,0.0,0.0,0.0,0.0,0.0,0.0,0.8022194454224701,0.0,0.0,0.5032059230785128,-0.4462723790125014,0.9872936118890266,8.663716356314646,95.89439958870422,5.8178524012482824e-05,0.0011093465897560625,0.0,0.0,0.0,1022.8011407711136,0.6756870414368178,0.0,0.9999999999999813,0.8022194454224701,0.0
CDDFuse,SPECT,24,20260519_234427,5.004351852732141,60.2802005359027,6.957361602163638,22.282767358110732,70.35363507164747,46.75687026977539,0.8145229320065791,3.081361902397589,0.0329318092549218,0.6525902981072441,1.1996373953625652,1.4318665576003402,26.531646226491095,25.456789252984887,0.7584415889714412,0.1680287205661778,0.6507104972348273,0.5518985650320835,0.8802212411669413,33.54253082300461,0.9853877545826091,1.0219421581442514,0.030665387482346474,0.8145229320065791,-10.813591745242661
CDDFuse,PET,24,20260520_092955,5.615156978998518,89.52869657843478,11.562101731537913,35.24311952589901,118.03145972014867,81.30413309733073,0.8106392109366026,2.5503755165274353,0.018123789727973325,0.6262621819649624,1.1180307727222487,1.40427331203346,16.528441253577228,49.83680045429028,0.7343903930038415,0.074021208136895,0.6631819685990168,0.607745381638071,0.896227056735897,53.13101595310258,0.956416097565203,0.7648673180614319,0.03292504224882504,0.8106392109366026,-5.29132295738981
