image,EN,VAR,AG,SF,EI,MI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
25015.png,4.050394474322902,85.8172294435882,8.54132913027354,31.24747572812695,87.15313119584054,53.64933776855469,0.8075469125442072,1.9910896384420993,0.018550680601878113,0.6457807163072368,0.9753913131170926,1.5705894177177717,19.090345190743246,47.48082226075027,0.813173556591901,0.04802173765589068,0.6780621958172829,0.6395019018248063,0.8851571836022997,41.02251188233952,0.9885975102024598,0.8335953355717584,0.001600802423823482,0.8075469125442072,-6.743281950014383
25022.png,4.747739736908113,93.64128764430107,10.792784412205936,35.46118642682238,110.06022044725634,71.51869201660156,0.8085234954003175,2.208984987355648,0.02137770028544852,0.6289101085167483,1.1054175152384211,1.5098343100712723,17.6737491623512,51.313955552989455,0.7645759635700605,0.045746286593081185,0.6933138805090853,0.6582913087876046,0.8823590529889794,58.05787622437353,0.9788173017508146,0.7859059049502821,0.011752138384755638,0.8085234954003175,-4.851864713507538
25027.png,5.10639890745461,92.23299747361261,11.45554569743795,36.19304671133702,116.31773586007414,75.77336120605469,0.8091735234703263,2.343301393211111,0.019925000784051478,0.6250993163821239,1.0499395367477788,1.4748311682065944,17.080819701125215,49.4521082122961,0.7426333060036913,0.052558204807195565,0.6913174563267942,0.6522177418053864,0.8859216775564916,58.24458587152669,0.9653736391300887,0.7724828072050585,0.022115004082047644,0.8091735234703263,-4.802626498928552
25038.png,5.5702566608546995,95.23904977210894,12.325947082244276,38.8157959550619,123.15791374502112,89.71733093261719,0.8092311670520806,2.392472819996385,0.020955126724925825,0.6041867897248705,1.204495185061535,1.4177189637793122,15.858814211016341,52.7943219927593,0.6902068910628975,0.04658350525241344,0.6709118197005106,0.6135966887801116,0.8858971185390709,75.11635719929217,0.947776514886711,0.7201013673888568,0.027662355922035406,0.8092311670520806,-5.438301355906366
25046.png,5.757056174055389,95.02565503169394,13.098581789333977,40.79349148766144,130.0073386957431,92.64794921875,0.8095627380912198,2.441259496834693,0.020089959338923793,0.5993108467867035,1.2271184198831662,1.3906076664319094,15.590585904602957,52.92590408091818,0.6971560447459441,0.049544625464025466,0.6863204282514839,0.6314301723637528,0.890455968930636,73.89472728763249,0.9425733989095357,0.7109810081643709,0.02870603020269115,0.8095627380912198,-5.872063383971837
25055.png,5.757619637023213,93.24059846396477,13.540933283879388,41.96051912697546,133.73973443899484,89.17897033691406,0.8091953819847911,2.390212624173442,0.021352829185764324,0.6021335972610803,1.127651189261588,1.3977885131133527,16.02840235685691,49.48067731188775,0.6963646081198992,0.04226225095357361,0.6849961016212913,0.6220429357400205,0.8933586535502249,67.59822051906204,0.9437497239502909,0.6963178848089856,0.026413415303869793,0.8091953819847911,-5.706785159687626
25063.png,5.7820923723661375,88.81925488208627,13.218886082371423,41.201829562257835,130.45696978751835,79.67118835449219,0.8103650660309663,2.5254798326998973,0.02145440731699768,0.6051988761129772,1.0696870049837328,1.3863930247233274,17.132891800543344,46.52200842308404,0.7334742922130861,0.05165677773923058,0.7043494858761333,0.6328971172162042,0.895700796615635,57.48065101371846,0.9542463368777712,0.7340841897319507,0.022788274449648108,0.8103650660309663,-5.689458788887219
25073.png,5.969861569094608,85.90322490246783,14.863100851660493,44.370294197831825,147.47615109727985,79.98019409179688,0.8115079977987435,2.619682522038766,0.014157513773853646,0.6126740977744328,1.1620977228043843,1.3625213714507662,16.61249972526288,50.79543806262417,0.7861008152369272,0.0644012260802528,0.7252952470798532,0.6727439397004822,0.8909909792537667,44.210280780537495,0.9660602416284283,0.7371961197110182,0.020689907040634135,0.8115079977987435,-5.03167824129612
30034.png,5.476399793800724,85.94805618455975,10.352270031964501,30.197271878132234,108.03702865455753,72.01695251464844,0.8114901262680176,2.5918449393620424,0.014796763529700276,0.6421463545547816,1.1258465704315899,1.4253682297110417,16.43355512840638,50.786343844224746,0.7815182374015274,0.12321436948922583,0.6561095350519068,0.6138827445703396,0.9291928508787007,28.27232705152787,0.9675118186691449,0.7999354643973478,0.02603819078450261,0.8114901262680176,-5.242038952244056
30043.png,6.102724281348273,91.77779114841945,13.055641972395991,37.435448591933515,134.79541087856288,92.83482360839844,0.8118827210725159,2.683191714160384,0.015854256282167724,0.6029458961747504,1.3069965015363403,1.343151043498225,15.569347449225546,56.69959322014418,0.7488469994132855,0.07800899348885092,0.6974406831994155,0.6457421361659919,0.948964582740159,50.2392763483461,0.9563759237814573,0.7396493972809935,0.03203444130409678,0.8118827210725159,-5.0962185899773536
30057.png,6.354933384556396,88.16025217632915,11.649213801737599,32.89357566374153,119.51374649198509,92.08988952636719,0.8139628608512233,2.9767114323469874,0.017107815962660537,0.584713775068039,1.182104284050694,1.3156476890173272,16.48247553187971,50.72691587857058,0.7153632336615163,0.09138097100621684,0.7114953025566162,0.6415583188224886,0.9489257591199627,64.38271510429146,0.9524340149178298,0.7861564440999375,0.051396930101302245,0.8139628608512233,-4.237181987872875
